customer_id,name,email,country
1,Customer1,user1@mail.com,India
2,Customer2,user2@mail.com,India
3,Customer3,user3@mail.com,India
4,Customer4,user4@mail.com,India
5,Customer5,user5@mail.com,India
6,Customer6,user6@mail.com,India
7,Customer7,user7@mail.com,India
8,Customer8,user8@mail.com,India
9,Customer9,user9@mail.com,India
10,Customer10,user10@mail.com,India
11,Customer11,user11@mail.com,India
12,Customer12,user12@mail.com,India
13,Customer13,user13@mail.com,India
14,Customer14,user14@mail.com,India
15,Customer15,user15@mail.com,India
16,Customer16,user16@mail.com,India
17,Customer17,user17@mail.com,India
18,Customer18,user18@mail.com,India
19,Customer19,user19@mail.com,India
20,Customer20,user20@mail.com,India
21,Customer21,user21@mail.com,India
22,Customer22,user22@mail.com,India
23,Customer23,user23@mail.com,India
24,Customer24,user24@mail.com,India
25,Customer25,user25@mail.com,India
26,Customer26,user26@mail.com,India
27,Customer27,user27@mail.com,India
28,Customer28,user28@mail.com,India
29,Customer29,user29@mail.com,India
30,Customer30,user30@mail.com,India
31,Customer31,user31@mail.com,India
32,Customer32,user32@mail.com,India
33,Customer33,user33@mail.com,India
34,Customer34,user34@mail.com,India
35,Customer35,user35@mail.com,India
36,Customer36,user36@mail.com,India
37,Customer37,user37@mail.com,India
38,Customer38,user38@mail.com,India
39,Customer39,user39@mail.com,India
40,Customer40,user40@mail.com,India
41,Customer41,user41@mail.com,India
42,Customer42,user42@mail.com,India
43,Customer43,user43@mail.com,India
44,Customer44,user44@mail.com,India
45,Customer45,user45@mail.com,India
46,Customer46,user46@mail.com,India
47,Customer47,user47@mail.com,India
48,Customer48,user48@mail.com,India
49,Customer49,user49@mail.com,India
50,Customer50,user50@mail.com,India
51,Customer51,user51@mail.com,India
52,Customer52,user52@mail.com,India
53,Customer53,user53@mail.com,India
54,Customer54,user54@mail.com,India
55,Customer55,user55@mail.com,India
56,Customer56,user56@mail.com,India
57,Customer57,user57@mail.com,India
58,Customer58,user58@mail.com,India
59,Customer59,user59@mail.com,India
60,Customer60,user60@mail.com,India
61,Customer61,user61@mail.com,India
62,Customer62,user62@mail.com,India
63,Customer63,user63@mail.com,India
64,Customer64,user64@mail.com,India
65,Customer65,user65@mail.com,India
66,Customer66,user66@mail.com,India
67,Customer67,user67@mail.com,India
68,Customer68,user68@mail.com,India
69,Customer69,user69@mail.com,India
70,Customer70,user70@mail.com,India
71,Customer71,user71@mail.com,India
72,Customer72,user72@mail.com,India
73,Customer73,user73@mail.com,India
74,Customer74,user74@mail.com,India
75,Customer75,user75@mail.com,India
76,Customer76,user76@mail.com,India
77,Customer77,user77@mail.com,India
78,Customer78,user78@mail.com,India
79,Customer79,user79@mail.com,India
80,Customer80,user80@mail.com,India
81,Customer81,user81@mail.com,India
82,Customer82,user82@mail.com,India
83,Customer83,user83@mail.com,India
84,Customer84,user84@mail.com,India
85,Customer85,user85@mail.com,India
86,Customer86,user86@mail.com,India
87,Customer87,user87@mail.com,India
88,Customer88,user88@mail.com,India
89,Customer89,user89@mail.com,India
90,Customer90,user90@mail.com,India
91,Customer91,user91@mail.com,India
92,Customer92,user92@mail.com,India
93,Customer93,user93@mail.com,India
94,Customer94,user94@mail.com,India
95,Customer95,user95@mail.com,India
96,Customer96,user96@mail.com,India
97,Customer97,user97@mail.com,India
98,Customer98,user98@mail.com,India
99,Customer99,user99@mail.com,India
100,Customer100,user100@mail.com,India
